ID	X1	X2	ROW	COL
1	1	1	1	1
2	1	1	1	2
3	1	1	1	3
4	1	1	1	4
5	1	1	1	5
6	1	1	1	6
7	1	1	1	7
8	1	1	1	8
9	1	1	1	9
10	1	1	1	10
11	1	1	1	11
12	1	1	1	12
13	1	1	1	13
14	1	1	1	14
15	1	1	1	15
16	1	1	1	16
17	1	1	1	17
18	1	1	1	18
19	1	1	1	19
20	1	1	1	20
21	1	1	1	21
22	1	1	2	1
23	1	1	2	2
24	1	1	2	3
25	1	1	2	4
26	1	1	2	5
27	1	1	2	6
28	1	1	2	7
29	1	1	2	8
30	1	1	2	9
31	1	1	2	10
32	1	1	2	11
33	1	1	2	12
34	1	1	2	13
35	1	1	2	14
36	1	1	2	15
37	1	1	2	16
38	1	1	2	17
39	1	1	2	18
40	1	1	2	19
41	1	1	2	20
42	1	1	2	21
43	1	1	3	1
44	1	1	3	2
45	1	1	3	3
46	1	1	3	4
47	1	1	3	5
48	1	1	3	6
49	1	1	3	7
50	1	1	3	8
51	1	1	3	9
52	1	1	3	10
53	1	1	3	11
54	1	1	3	12
55	1	1	3	13
56	1	1	3	14
57	1	1	3	15
58	1	1	3	16
59	1	1	3	17
60	1	1	3	18
61	1	1	3	19
62	1	1	3	20
63	1	1	3	21
64	1	1	4	1
65	1	1	4	2
66	1	1	4	3
67	1	1	4	4
68	1	1	4	5
69	1	1	4	6
70	1	1	4	7
71	1	1	4	8
72	1	1	4	9
73	1	1	4	10
74	1	1	4	11
75	1	1	4	12
76	1	1	4	13
77	1	1	4	14
78	1	1	4	15
79	1	1	4	16
80	1	1	4	17
81	1	1	4	18
82	1	1	4	19
83	1	1	4	20
84	1	1	4	21
85	1	1	5	1
86	1	1	5	2
87	1	1	5	3
88	1	1	5	4
89	1	1	5	5
90	1	1	5	6
91	1	1	5	7
92	1	1	5	8
93	1	1	5	9
94	1	1	5	10
95	1	1	5	11
96	1	1	5	12
97	1	1	5	13
98	1	1	5	14
99	1	1	5	15
100	1	1	5	16
101	1	1	5	17
102	1	1	5	18
103	1	1	5	19
104	1	1	5	20
105	1	1	5	21
106	1	1	6	1
107	1	1	6	2
108	1	1	6	3
109	1	1	6	4
110	1	1	6	5
111	1	1	6	6
112	1	1	6	7
113	1	1	6	8
114	1	1	6	9
115	1	1	6	10
116	1	1	6	11
117	1	1	6	12
118	1	1	6	13
119	1	1	6	14
120	1	1	6	15
121	1	1	6	16
122	1	1	6	17
123	1	1	6	18
124	1	1	6	19
125	1	1	6	20
126	1	1	6	21
127	1	1	7	1
128	1	1	7	2
129	1	1	7	3
130	1	1	7	4
131	1	1	7	5
132	1	1	7	6
133	1	1	7	7
134	1	1	7	8
135	1	1	7	9
136	1	1	7	10
137	1	1	7	11
138	1	1	7	12
139	1	1	7	13
140	1	1	7	14
141	1	1	7	15
142	1	1	7	16
143	1	1	7	17
144	1	1	7	18
145	1	1	7	19
146	1	1	7	20
147	1	1	7	21
148	1	1	8	1
149	1	1	8	2
150	1	1	8	3
151	1	1	8	4
152	1	1	8	5
153	1	1	8	6
154	1	1	8	7
155	1	1	8	8
156	1	1	8	9
157	1	1	8	10
158	1	1	8	11
159	1	1	8	12
160	1	1	8	13
161	1	1	8	14
162	1	1	8	15
163	1	1	8	16
164	1	1	8	17
165	1	1	8	18
166	1	1	8	19
167	1	1	8	20
168	1	1	8	21
169	1	1	9	1
170	1	1	9	2
171	1	1	9	3
172	1	1	9	4
173	1	1	9	5
174	1	1	9	6
175	1	1	9	7
176	1	1	9	8
177	1	1	9	9
178	1	1	9	10
179	1	1	9	11
180	1	1	9	12
181	1	1	9	13
182	1	1	9	14
183	1	1	9	15
184	1	1	9	16
185	1	1	9	17
186	1	1	9	18
187	1	1	9	19
188	1	1	9	20
189	1	1	9	21
190	1	1	10	1
191	1	1	10	2
192	1	1	10	3
193	1	1	10	4
194	1	1	10	5
195	1	1	10	6
196	1	1	10	7
197	1	1	10	8
198	1	1	10	9
199	1	1	10	10
200	1	1	10	11
201	1	1	10	12
202	1	1	10	13
203	1	1	10	14
204	1	1	10	15
205	1	1	10	16
206	1	1	10	17
207	1	1	10	18
208	1	1	10	19
209	1	1	10	20
210	1	1	10	21
211	1	1	11	1
212	1	1	11	2
213	1	1	11	3
214	1	1	11	4
215	1	1	11	5
216	1	1	11	6
217	1	1	11	7
218	1	1	11	8
219	1	1	11	9
220	1	1	11	10
221	1	1	11	11
222	1	1	11	12
223	1	1	11	13
224	1	1	11	14
225	1	1	11	15
226	1	1	11	16
227	1	1	11	17
228	1	1	11	18
229	1	1	11	19
230	1	1	11	20
231	1	1	11	21
232	1	1	12	1
233	1	1	12	2
234	1	1	12	3
235	1	1	12	4
236	1	1	12	5
237	1	1	12	6
238	1	1	12	7
239	1	1	12	8
240	1	1	12	9
241	1	1	12	10
242	1	1	12	11
243	1	1	12	12
244	1	1	12	13
245	1	1	12	14
246	1	1	12	15
247	1	1	12	16
248	1	1	12	17
249	1	1	12	18
250	1	1	12	19
251	1	1	12	20
252	1	1	12	21
253	1	1	13	1
254	1	1	13	2
255	1	1	13	3
256	1	1	13	4
257	1	1	13	5
258	1	1	13	6
259	1	1	13	7
260	1	1	13	8
261	1	1	13	9
262	1	1	13	10
263	1	1	13	11
264	1	1	13	12
265	1	1	13	13
266	1	1	13	14
267	1	1	13	15
268	1	1	13	16
269	1	1	13	17
270	1	1	13	18
271	1	1	13	19
272	1	1	13	20
273	1	1	13	21
274	1	1	14	1
275	1	1	14	2
276	1	1	14	3
277	1	1	14	4
278	1	1	14	5
279	1	1	14	6
280	1	1	14	7
281	1	1	14	8
282	1	1	14	9
283	1	1	14	10
284	1	1	14	11
285	1	1	14	12
286	1	1	14	13
287	1	1	14	14
288	1	1	14	15
289	1	1	14	16
290	1	1	14	17
291	1	1	14	18
292	1	1	14	19
293	1	1	14	20
294	1	1	14	21
295	1	1	15	1
296	1	1	15	2
297	1	1	15	3
298	1	1	15	4
299	1	1	15	5
300	1	1	15	6
301	1	1	15	7
302	1	1	15	8
303	1	1	15	9
304	1	1	15	10
305	1	1	15	11
306	1	1	15	12
307	1	1	15	13
