protein,strain_1,strain_2,strain_3,strain_4,overall_mean,posterior_max
Prot2447,-2.181286594194684,-2.4364694992535108,-0.05778506272081824,-2.7319337121473466,-1.85186871707909,0.9973550152953643
Prot2025,-1.5810650513333189,-1.5980146096470922,-2.4683682463342214,-1.7550183584567571,-1.8506165664428473,0.9737984252023276
Prot500,-0.29454033982295935,-3.285761584312982,-0.3689883385337932,-3.411418798453435,-1.8401772652807926,0.8638069885346421
Prot339,-1.5622517794566413,-2.040075637764534,-1.4837005086003014,-2.264031377463779,-1.837514825821314,0.9802263623522529
Prot99,-2.24083437658188,-1.9553894443275595,-0.4926588369879905,-2.5512632024548805,-1.8100364650880776,0.9954804564635472
Prot677,-0.502609937031226,-2.0167376696610013,-0.9567402171206714,-3.7214857618994266,-1.7993933964280813,0.9044718398285834
Prot731,-1.661479658300814,-2.5189298901520356,-0.7635380650948556,-2.240216487683015,-1.79604102530768,0.9889772759364868
Prot287,-2.2317932017718523,-1.9056612044502619,-0.41173713488551567,-2.6268629250454802,-1.7940136165382774,0.9952270017239492
Prot471,-2.0063622972470805,-1.2962405113630069,-2.080494508020478,-1.59055132303453,-1.743412159916274,0.9801359009286369
Prot150,-0.9035245782886522,-1.924177578749311,-1.598298532303144,-2.5314140982292117,-1.7393536968925796,0.8456207607127252
Prot1204,-1.7157353354308473,-0.8618924420103176,-2.5235641293631925,-1.8269375188282124,-1.7320323564081426,0.9481436505467052
Prot10,-1.7774132031283416,-1.4318229923245802,-1.440874635121462,-2.195275404159759,-1.7113465586835357,0.9783077649402401
Prot1203,-1.78601831116331,-1.0187421520048916,-2.076249544391484,-1.9369843042029367,-1.7044985779406556,0.9598252526538946
Prot1866,-2.3351072396020895,-2.0775578963869856,-0.2821184915500979,-2.100817884128242,-1.6989003779168537,0.9973005021733217
Prot140,-1.6333416476597131,-1.6580342602500848,-1.7018368829084776,-1.7874923274869716,-1.695176279576312,0.973484765155913
Prot1761,-1.936143704186989,-1.3273194489922113,-2.519384906717433,-0.9230942666473676,-1.6764855816360003,0.9753775618482495
Prot560,-1.6461054411945628,-1.0201670103280676,-2.1241412421375623,-1.90747020532897,-1.6744709747472906,0.9545738102694384
Prot1434,-1.6194446453884568,-1.9534389070946936,-0.4852189572039114,-2.6184700011312567,-1.6691431277045798,0.9879028643048189
Prot1535,-1.723347557415094,-1.2723591942828458,-1.9956237973069486,-1.6193578438910463,-1.6526720982239835,0.9714252924464979
Prot258,-0.26935330820948805,-2.4967573531577614,-0.1317350596054405,-3.6699936753392257,-1.641959849077979,0.9045154554242582
Prot706,-0.4799211023740191,-2.114621642050116,-0.07699092274350079,-3.8316487379712156,-1.6257956012847128,0.9020599704213953
Prot913,-2.019673714155062,-1.402005587143466,-2.130664432222078,-0.8607650499439211,-1.6032771958661316,0.9799176226397023
Prot1520,-0.5995780374698181,-1.0965081347912058,-2.1951095937990415,-2.4515522721635423,-1.585687009555902,0.8040239335464672
Prot911,-0.847346529546901,-1.7430341174363966,-1.0930987160857437,-2.4762184064683335,-1.539924442384344,0.9252356744948382
Prot977,-1.4366400734131763,-1.4155866642153438,-1.5025980412049735,-1.7219608696792774,-1.5191964121281927,0.9418794210644541
Prot987,-1.0502642244785938,-2.314963411077202,-0.6683743581402891,-1.976731070777198,-1.5025832661183207,0.9682104232316245
Prot1775,-1.03207558807188,-1.6500120483604075,-0.8920874406521054,-2.2627611292252627,-1.4592340515774138,0.9503838614618398
Prot2365,-0.9897890968769101,-1.6434623570259366,-2.2678002117218994,-0.9168014333920321,-1.4544632747541943,0.911865586799215
Prot1396,-1.3259834481097952,-1.5797639688858947,-1.1669187534801078,-1.625226342962652,-1.4244731283596124,0.9187586017156956
Prot1423,-1.531442103030275,-1.3301929151839078,-0.9040037593740966,-1.8719167743684402,-1.4093888879891798,0.9720785703486652
Prot280,-1.785331587926798,-1.4025259525417768,-0.38574015422149377,-1.9452349187512943,-1.3797081533603408,0.9862436698837884
Prot2409,-0.7679810196578054,-0.5282427548296783,-3.5224502882456186,-0.6559167023872022,-1.368647691280076,0.8892462411323416
Prot329,-1.5300238523222818,-1.5453843890381032,-0.22266330870774856,-2.1456887714824493,-1.3609400803876457,0.9837541606932331
Prot146,-1.2590172344017174,-1.675607154948424,-0.4210631622490088,-2.010418052026448,-1.3415264009063996,0.977729561294343
Prot1815,-0.47368452282122187,-1.2076536979014223,-1.0806540071401147,-2.4761650233649295,-1.3095393128069222,0.8116124041048218
Prot144,-1.4338989584707043,-1.4535074298590809,-0.6933495390161751,-1.625976690210024,-1.301683154388996,0.9736397960467279
Prot2425,-1.046020030159193,-0.9787678031500258,-2.0896501844099493,-0.9507098503548683,-1.266286967018509,0.8531750445980052
Prot472,-1.5528772830241977,-0.7041455775999389,-1.5978385699352,-1.0631234334937902,-1.2294962160132816,0.929752211905796
Prot967,-0.9908488934859737,-1.4471636167451543,-0.30844410258139265,-2.13036257714166,-1.2192047974885454,0.9574311170006712
Prot2381,-1.3960312212744295,-1.5225153683835488,-1.0005164440194332,-0.7747097752857397,-1.173443202240788,0.9536703657869418
Prot2030,-0.3452002462812662,-1.5113105433452951,-0.5010908916744485,-2.0986053997518312,-1.1140517702632105,0.8311379956972241
Prot630,-1.374678751478708,-0.5193725631723677,-2.1201756483849254,-0.3907208558944695,-1.1012369547326175,0.9058598532397547
Prot894,-0.40901245220216226,-1.2025424545751713,-0.4159948051735445,-2.0504862047630663,-1.0195089791784862,0.83473470826528
Prot755,-1.164894853743074,-1.159178830769746,-0.03980267867967596,-1.4761864621635503,-0.9600157063390116,0.9676830909874544
Prot1852,-1.2218328923876267,-1.2939900753783657,-1.1129429926128331,-0.14843569342290056,-0.9443004134504316,0.9496535834411243
Prot854,-1.1168859054180142,-1.3219130535618846,-0.43161499980896306,-0.24625056939879938,-0.7791661320469153,0.9455261787812898
Prot531,-1.3739778421708637,-0.2927298414120898,-0.7950987551598573,-0.4969453828407807,-0.7396879553958978,0.8378545794908038
Prot1715,-1.5238223160285713,-0.4156112643061591,-0.6873275898505344,-0.045607172894358616,-0.668092085769906,0.9369632792210427
