"","male.white.0.9","female.white.0.9","male.all.0.9","female.all.0.9","male.white.10.14","female.white.10.14","male.all.10.14","female.all.10.14","male.white.15.19","female.white.15.19","male.all.15.19","female.all.15.19","male.white.20.24","female.white.20.24","male.all.20.24","female.all.20.24","male.white.25.34","female.white.25.34","male.all.25.34","female.all.25.34","male.white.35.44","female.white.35.44","male.all.35.44","female.all.35.44","male.white.45.54","female.white.45.54","male.all.45.54","female.all.45.54","male.white.55.64","female.white.55.64","male.all.55.64","female.all.55.64","male.white.65.74","female.white.65.74","male.all.65.74","female.all.65.74","male.white.75.","female.white.75.","male.all.75.","female.all.75."
"6482",509,570,650.412,678.181,523,441,644.805,495.813,558,443,560.7,512.91,172,148,269.136,170.97,271,347,319.599,387.532,738,826,829.836,974.529,880,1006,981.225,1031.519,706,671,740.124,729.472,350,294,353.241,313.445,247,404,252.315,410.328
"6483",670,550,861.08,658.084,420,483,524.476,528.199,451,658,610.584,874.559,380,643,438.368,701.379,653,666,720.176,770.651,1040,1108,1142.888,1298.85,1319,1384,1620.396,1541.302,998,893,1095.92,1004.444,501,419,516.648,432.95,306,820,305.292,848.582
"6484",1682,1678,1922.904,1891.799,1189,1125,1300.788,1268.129,948,1315,1093.416,1476.019,821,774,848.34,935.505,1911,1800,2243.388,2078.9,2075,2476,2337.648,2702.57,3109,3476,3223.692,3638.075,2705,2601,2846.652,2702.57,1813,1949,1847.496,1995.744,1173,2027,1187.676,2099.689
"6488",877,670,1024.204,739.368,795,604,880.624,646.947,625,490,670.04,523.719,329,452,363.736,451.836,638,584,727.472,667.485,651,759,765.76,831.789,1767,1618,1780.392,1714.923,1216,1401,1234.788,1417.122,892,1069,909.34,1088.514,1174,2175,1206.072,2177.028
"6489",1885,1823,2037.705,1999.44,982,1102,1042.185,1149.678,948,770,979.965,816.438,664,755,715.53,799.776,1412,1452,1477.725,1566.228,2053,1977,2177.7,2099.412,2431,2487,2488.8,2565.948,2042,2434,2193.255,2532.624,1419,1436,1477.725,1499.58,982,1610,979.965,1666.2
"6492",2039,1683,2395.98,2068.47,1073,1314,1375.47,1493.895,1599,1375,1774.8,1470.912,1108,1065,1242.36,1126.167,2435,2522,2640.015,2826.909,2658,2584,3105.9,2918.841,3365,3576,3660.525,3769.212,2793,2921,2861.865,3033.756,1591,1699,1686.06,1769.691,1419,2378,1464.21,2459.181
"6498",245,345,252.637,347.706,253,129,259.199,129.465,192,304,193.579,303.318,171,179,232.951,177.552,231,283,324.819,307.017,243,396,278.885,414.288,656,525,656.2,540.054,482,653,482.307,684.315,363,336,364.191,336.609,237,462,236.232,462.375
"6510",10,9,56.406,47.273,9,1,9.401,26.519,44,40,84.609,56.497,250,149,382.755,252.507,297,230,397.528,491.178,72,43,200.107,64.568,42,38,69.836,54.191,51,37,85.952,85.322,20,8,20.145,25.366,34,43,33.575,49.579
"6511",727,805,3007.251,3175.606,299,306,1336.556,1660.638,1168,1047,2698.815,2592.926,2130,2167,3881.153,3874.822,3548,3296,6065.908,6759.088,1442,1186,2930.142,3204.74,726,884,2261.864,2942.534,807,980,1824.913,2388.988,467,537,951.011,1369.298,527,569,796.793,1136.226
"6512",1353,1397,1831.026,1630.42,655,563,865.834,622.524,622,705,837.446,785.566,548,488,738.088,548.414,1627,1599,1816.832,1926.86,1614,1679,1930.384,1897.216,1927,2242,2228.458,2534.562,1895,1764,1972.966,1852.75,1071,1230,1107.132,1259.87,841,1727,865.834,1734.174
"6513",1164,970,3042.765,2254.188,525,654,1253.988,1543.408,633,545,1456.839,1279.404,709,784,1290.87,1482.484,1723,1676,3098.088,3208.664,1466,1351,2839.914,2802.504,1481,1655,2176.038,2802.504,1176,1474,1751.895,2254.188,678,1003,903.609,1380.944,469,1000,626.994,1299.712
"6514",715,754,1311.552,1565.938,610,362,789.36,930.699,419,610,1020.096,1152.294,600,875,1068.672,1314.797,983,1309,1845.888,2068.22,1067,1247,1894.464,2142.085,1116,1437,1736.592,2068.22,831,1078,1190.112,1565.938,412,578,619.344,886.38,595,913,680.064,1063.656
"6515",431,338,1027,688.608,124,135,534.04,554.712,377,629,895.544,1444.164,587,565,1076.296,1118.988,670,689,1068.08,1444.164,439,528,911.976,1128.552,507,518,1166.672,1243.32,442,527,739.44,908.58,269,278,410.8,449.508,211,367,394.368,602.532
"6516",1593,1988,2914.416,3349.95,997,874,1969.2,1427.37,1628,1040,2152.992,1718.67,1393,1471,2047.968,2301.27,2405,2815,3544.56,4019.94,2439,2354,3597.072,3961.68,2714,3260,3807.12,4369.5,2611,2968,3255.744,3757.77,1437,1594,1706.64,2068.23,1160,1971,1260.288,2155.62
"6517",519,569,811.104,841.769,319,187,497.568,440.552,181,313,490.752,416.951,222,197,340.8,424.818,521,670,722.496,1038.444,727,724,1029.216,1014.843,845,614,1029.216,944.04,627,854,817.92,1140.715,365,611,483.936,739.498,544,739,592.992,865.37
"6518",515,617,709.44,770.025,324,249,390.192,328.544,1188,1566,1294.728,1765.924,766,1363,966.612,1498.982,997,626,1081.896,811.093,644,798,806.988,1006.166,1163,1011,1427.748,1211.506,960,919,1073.028,1047.234,524,665,558.684,770.025,497,1011,567.552,1047.234
"6519",396,467,1512.728,1423.917,120,96,463.08,491.293,224,175,694.62,541.255,91,235,779.518,841.027,440,417,1358.368,1240.723,291,306,1088.238,1124.145,309,397,802.672,1040.875,165,215,586.568,674.487,111,177,246.976,399.696,122,358,177.514,532.928
"6524",273,271,280.378,316.897,264,210,357.625,210.377,336,87,346.181,87.879,83,163,82.969,162.443,93,178,94.413,178.421,373,384,420.567,442.058,544,545,557.895,543.252,408,362,437.733,378.146,165,191,165.938,191.736,111,146,120.162,154.454
"6525",496,234,586.17,313.67,273,245,302.103,313.67,308,319,306.612,353.999,199,78,202.905,76.177,197,165,220.941,179.24,376,497,459.918,600.454,718,759,856.71,855.871,649,775,680.859,824.504,513,373,541.08,425.695,316,520,360.72,537.72
"6604",684,702,1837.006,1746.38,265,444,822.54,1068.905,425,652,1124.138,1505.5,734,756,1590.244,1445.28,1144,921,2549.874,2288.36,929,666,2138.604,1731.325,527,687,1425.736,1656.05,792,741,1178.974,1445.28,358,609,562.069,858.135,356,1020,493.524,1309.785
"6605",485,797,1674.59,2264.853,403,239,820.66,725.754,277,222,820.66,963.501,165,232,987.01,925.962,819,799,1796.58,2227.314,855,775,2073.83,1814.385,662,505,1297.53,1464.021,421,471,842.84,938.475,244,296,454.69,663.189,274,291,332.7,538.059
"6606",1503,1391,3286.032,3414.257,937,607,1812.15,1301.839,848,678,1981.284,1326.402,1516,1046,2271.228,2087.855,2494,2170,4300.836,3856.391,1766,2029,3189.384,3709.013,1578,1668,2875.278,3291.442,1387,1751,2416.2,2873.871,743,751,1232.262,1326.402,668,1005,773.184,1400.091
"6607",248,170,723.69,616.716,54,34,168.3,308.358,135,121,339.966,370.863,152,114,323.136,350.028,112,193,440.946,658.386,99,175,380.358,583.38,143,119,440.946,520.875,56,38,205.326,391.698,27,39,171.666,216.684,58,26,171.666,150.012
"6608",576,909,1245.674,1499.604,230,284,648.521,668.941,239,133,487.996,639.537,323,264,796.204,713.047,415,661,853.993,1036.491,469,336,828.309,889.471,290,420,731.994,882.12,222,285,500.838,499.868,139,106,211.893,316.093,77,127,128.42,205.828
"6610",489,550,1726.725,1401.664,245,353,753.48,938.304,313,253,920.92,637.12,416,268,680.225,718.208,835,677,1475.565,1459.584,480,665,1255.8,1702.848,810,762,1569.75,1633.344,517,766,1036.035,1378.496,361,490,638.365,868.8,276,697,418.6,834.048
"6611",2018,1759,2367.765,2050.059,1450,1156,1560.971,1311.299,1117,1287,1245.269,1422.113,856,650,894.489,720.291,972,1320,1140.035,1514.458,2130,1981,2543.155,2327.094,2765,3103,3016.708,3324.42,1856,1856,1964.368,1939.245,1263,1506,1350.503,1625.272,1436,2136,1490.815,2216.28
"6612",522,490,536.549,538.2,317,357,324.09,386.1,222,229,223.262,230.1,135,134,162.045,132.6,113,150,111.631,148.2,455,525,453.726,534.3,688,678,738.205,737.1,485,594,496.938,600.6,364,282,403.312,323.7,148,246,147.641,261.3
"6614",1567,1525,1941.324,1880.359,824,534,1090.992,707.291,854,627,994.728,776.295,579,671,657.804,828.048,1499,1512,1973.412,1794.104,1776,2013,2149.896,2484.144,1945,2076,2294.292,2553.148,1863,2206,2117.808,2363.387,1314,1609,1443.96,1725.1,1333,2036,1379.784,2156.375
"6615",625,512,947.43,829.284,222,344,508.167,676.772,330,473,551.232,886.476,429,268,689.04,467.068,587,829,1085.238,1201.032,710,769,1042.173,1448.864,1395,1143,1920.699,1515.588,663,810,869.913,1191.5,469,537,577.071,743.496,311,460,430.65,581.452
"6702",96,72,202.584,253.227,35,27,96.888,102.076,47,67,89.548,133.484,36,110,45.508,147.225,142,30,239.284,168.818,41,23,121.844,190.411,94,98,145.332,263.042,191,84,290.664,155.077,86,141,113.036,247.338,65,185,121.844,304.265
"6704",629,465,1942.486,1600.56,416,221,1034.46,946.998,338,448,896.532,1293.786,236,512,896.532,933.66,742,881,1310.316,2027.376,543,916,1482.726,2214.108,974,763,1701.112,1573.884,585,737,1034.46,1227.096,469,480,793.086,680.238,316,561,402.29,840.294
"6705",1123,1000,1750.983,1780.125,381,424,1045.551,882.942,453,424,781.014,897.183,598,545,1020.357,840.219,1102,1102,1839.162,1822.848,1151,1319,1990.326,2107.668,1087,1162,1750.983,2036.463,1102,1150,1423.461,1623.474,411,714,440.895,882.942,413,1266,541.671,1352.895
"6706",495,592,795.872,1030.32,352,364,639.54,732.672,350,219,604.01,450.288,364,301,689.282,641.088,585,706,923.78,1106.64,540,542,845.614,969.264,635,752,1129.854,1106.64,483,478,653.752,625.824,293,420,461.89,503.712,357,436,376.618,473.184
"6708",1066,747,2258.505,1744.656,440,524,976.257,933.544,543,443,1165.68,979.456,570,498,845.118,964.152,1354,1455,2010.798,1958.912,1379,1330,1894.23,2448.64,1623,1482,2200.221,1928.304,1308,1710,1471.671,1974.216,903,970,961.686,1071.28,700,1185,786.834,1316.144
"6710",532,438,922.376,940.39,115,140,367.068,424.875,81,123,404.716,424.875,98,203,371.774,504.185,463,484,837.668,832.755,236,401,423.54,725.12,222,388,395.304,798.765,475,354,583.544,583.495,147,53,258.83,141.625,132,236,145.886,300.245
"6712",437,306,468.27,387.04,324,291,331.1,320.96,347,334,364.21,377.6,317,232,326.37,231.28,384,341,420.97,387.04,586,699,595.98,741.04,835,804,875.05,854.32,720,672,718.96,679.68,327,334,340.56,335.12,295,398,293.26,405.92
"6716",514,830,543.363,898.5,568,798,642.852,844.59,562,664,673.464,664.89,369,398,420.915,431.28,570,526,665.811,566.055,1056,1315,1109.685,1365.72,1507,1525,1522.947,1599.33,952,1084,964.278,1123.125,452,677,505.098,700.83,605,760,604.587,808.65
"6750",30,126,35.685,128.466,15,38,14.823,44.226,29,55,29.097,54.756,13,16,19.215,16.146,66,62,65.88,61.776,24,70,27.999,79.326,150,113,165.798,123.552,102,104,102.114,103.896,59,32,59.292,31.59,29,58,29.097,58.266
"6751",126,137,126.836,137.864,103,134,102.84,134.236,195,88,202.252,88.886,113,54,130.264,54.42,98,60,97.698,59.862,177,211,178.256,210.424,293,387,301.664,386.382,359,298,368.51,297.496,164,294,164.544,293.868,42,151,42.85,150.562
"6752",54,55,66.144,54.784,57,58,56.816,65.056,45,32,44.944,49.648,32,26,32.224,29.104,45,41,49.184,41.088,91,78,94.976,84.744,147,146,153.488,148.944,153,190,154.336,194.312,100,90,100.064,98.44,94,86,94.128,87.312
"6754",157,161,156.915,166.47,35,56,38.04,56.385,56,56,58.962,59.07,17,17,19.971,17.005,52,55,54.207,54.595,153,154,155.013,160.205,149,147,156.915,149.465,154,135,165.474,137.83,104,62,103.659,61.755,41,32,39.942,32.22
"6755",143,135,143.36,135.228,21,0,21.28,0,12,65,11.76,64.749,13,9,12.88,9.168,116,87,115.92,87.096,31,74,30.8,73.917,88,73,87.92,73.344,56,58,56,57.873,65,59,64.96,59.019,15,13,15.12,13.179
"6756",61,145,60.544,156.97,72,73,71.552,98.463,105,36,104.576,35.675,55,77,55.04,77.058,101,59,101.824,58.507,158,148,159.616,176.948,283,343,283.456,343.907,269,282,275.2,282.546,172,87,172,87.047,92,110,90.816,108.452
"6757",66,87,66.368,86.625,5,148,5.185,148.5,88,44,96.441,43.875,42,29,42.517,29.25,133,113,145.18,113.625,57,126,61.183,126,219,155,228.14,155.25,116,88,116.144,105.75,123,153,124.44,153,154,162,153.476,165.375
"6758",20,29,20.09,29.07,48,0,48.02,0,6,0,5.88,0,6,7,5.88,7.03,0,8,0,7.98,90,44,89.915,43.89,32,55,32.095,55.1,26,33,25.97,32.87,10,14,10.045,14.06,7,0,7.105,0
"6759",278,262,288.806,275.792,210,334,215.131,335.338,250,158,306.488,166.102,202,95,212.184,115.958,110,144,126.721,147.298,285,456,288.806,473.234,475,567,486.255,573.522,433,379,433.209,382.348,264,351,265.23,351.008,303,311,315.329,322.802
"6762",307,368,419.58,415.362,336,167,362.88,179.616,238,102,253.26,142.196,167,159,177.66,172.132,199,208,241.92,306.844,508,496,563.22,550.074,484,581,506.52,662.334,632,575,638.82,591.236,347,379,359.1,392.91,260,324,260.82,321.812
"6763",84,88,83.592,87.736,141,71,141.384,70.787,78,67,78.432,69.79,26,25,25.8,24.925,64,98,63.984,97.706,115,122,115.584,121.634,220,210,219.816,209.37,147,191,156.864,190.427,99,71,99.072,70.787,48,51,48.504,50.847
"6770",1689,1268,2103.991,1632.138,829,856,1027.904,966.606,644,735,835.172,903.222,947,843,1060.026,966.606,2094,1927,2360.967,2250.132,1865,1540,2264.601,1853.982,2338,2331,2489.455,2646.282,1861,2015,2007.625,2250.132,1045,1061,1140.331,1188.45,786,1136,786.989,1156.758
"6776",1318,1356,1662.591,1535.028,744,821,851.571,1005.708,976,626,1067.843,701.349,510,532,540.68,621.951,1511,1201,1635.557,1429.164,1816,1859,2041.067,2104.047,2356,2252,2514.162,2474.571,1714,1601,1770.727,1693.824,789,889,811.02,913.077,580,757,608.265,754.281
"6777",65,51,64.824,50.96,30,49,30.192,48.776,46,29,46.176,29.12,50,48,49.728,48.048,129,48,129.648,48.048,142,77,142.08,77.168,129,140,128.76,140.504,110,137,110.112,137.592,126,81,126.096,80.808,61,61,61.272,67.704
"6778",89,73,88.956,89.352,63,46,62.834,45.99,58,32,57.892,32.193,8,16,26.828,15.768,34,40,33.888,40.077,131,119,130.61,119.574,99,114,101.664,114.318,111,111,110.842,111.033,91,84,91.074,84.096,0,6,0,5.913
"6779",366,539,364.156,535.857,266,188,267.306,198.132,270,323,271.18,418.779,180,300,259.558,310.707,348,371,383.526,441.294,558,542,670.202,625.917,703,607,724.438,639.426,414,505,445.51,513.342,270,460,278.928,459.306,212,336,209.196,360.24
"6782",127,105,127.411,105.064,99,45,98.96,44.538,158,27,158.336,27.408,68,40,68.035,39.97,26,137,25.977,139.324,174,179,174.417,179.294,275,188,274.614,188.43,229,222,228.845,222.69,62,93,61.85,93.644,19,104,18.555,103.922
"6783",80,122,80.333,122.54,59,55,58.751,54.586,72,49,81.532,56.814,19,61,19.184,61.27,55,36,55.154,35.648,132,124,131.89,123.654,216,234,225.412,233.94,275,244,281.765,243.966,197,94,197.835,100.26,68,81,68.343,82.436
"6784",207,294,235.008,295.05,72,162,71.604,161.294,151,132,159.732,131.789,51,31,51.408,31.472,102,140,102.816,139.657,185,230,205.632,255.71,346,395,345.168,395.367,326,265,324.972,265.545,254,202,255.204,202.601,85,89,84.456,88.515
"6785",62,79,61.824,78.894,10,0,9.982,0,18,60,18.032,59.901,0,0,0,0,13,91,12.88,91.069,44,10,44.114,10.227,41,94,40.894,93.991,69,62,68.908,61.849,18,34,18.032,34.09,47,57,47.012,56.979
"6786",493,449,535.512,471.438,345,334,353.64,347.626,385,225,409.212,238.1,348,301,373.848,300.006,550,451,586.032,476.2,743,726,767.904,723.824,693,768,697.176,800.016,738,689,752.748,714.3,334,287,333.432,285.72,250,402,252.6,400.008
"6787",279,295,309.42,319.555,319,202,328.52,226.52,250,301,248.3,311.465,280,137,278.86,149.665,385,394,393.46,396.41,552,623,588.28,647.2,707,829,718.16,869.675,395,540,401.1,558.21,322,315,324.7,315.51,229,242,229.2,254.835
"6790",2033,1448,2360.61,1698.606,950,835,1206.534,951.966,777,986,891.786,1101.294,755,887,926.758,933.3,1753,1715,1975.918,2090.592,2289,2251,2587.928,2538.576,2946,2769,3042.564,2986.56,2089,2320,2290.666,2613.24,1084,1465,1154.076,1511.946,1004,2207,1031.674,2221.254
"6791",345,176,345.36,178.188,150,186,172.68,195.432,196,243,215.85,275.904,110,102,109.364,100.59,186,141,187.07,140.826,415,405,417.31,422.478,526,579,552.576,597.792,514,469,512.284,468.462,208,168,207.216,178.188,161,319,158.29,319.014
"6793",0,31,2.112,30.899,18,34,30.096,33.814,87,40,153.12,86.284,27,52,26.928,57.717,15,0,14.784,13.992,27,7,26.928,6.996,34,69,36.96,68.794,127,150,127.248,149.831,58,91,58.08,90.948,52,43,52.272,43.142
"6794",53,43,53.472,42.908,54,52,54.029,51.742,26,9,26.179,8.834,0,0,0,0,34,33,33.977,32.812,72,77,72.41,77.613,110,116,110.286,116.104,111,122,111.4,121.783,59,100,59.042,99.698,28,73,38.433,78.875
"6795",947,559,1021.209,585.234,327,521,347.35,578.097,437,388,472.396,406.809,334,268,333.456,278.343,535,845,555.76,842.166,694,712,750.276,799.344,1276,1310,1361.612,1348.893,1052,941,1048.997,956.358,583,542,583.548,556.686,480,787,479.343,785.07
"6796",24,30,24.378,30.36,13,80,12.906,79.948,60,37,60.228,36.938,12,7,11.95,7.084,21,8,21.032,9.108,30,29,30.114,28.842,107,121,107.072,120.934,109,100,108.984,100.188,62,67,62.14,66.792,40,26,40.152,26.312
"6798",491,248,576.984,267.84,333,356,368.076,357.12,317,283,323.31,282.72,277,205,283.518,203.36,347,304,378.024,312.48,497,575,517.296,590.24,952,1113,964.956,1111.04,842,871,845.58,892.8,388,435,387.972,451.36,331,480,333.258,486.08
"6801",1090,906,1223.64,1090.748,564,419,750.87,526.568,620,381,704.52,517.165,374,587,417.15,630.001,890,769,982.62,846.27,1226,1354,1390.5,1504.48,1453,1606,1548.09,1777.167,984,1113,1047.51,1194.181,587,661,621.09,714.628,556,540,565.47,611.195
"6804",752,857,864,970.71,625,487,672,579.02,551,534,584,613.08,488,570,592,647.14,583,617,656,681.2,852,870,960,987.74,1447,1595,1552,1711.515,1133,1060,1200,1072.89,469,586,528,613.08,378,617,392,630.11
"6807",462,433,565.59,546.685,151,134,192.966,151.661,162,123,189.639,176.35,143,117,143.061,130.499,240,260,296.103,328.011,332,411,385.932,500.834,570,517,645.438,652.495,479,433,485.742,493.78,213,240,222.909,268.052,177,276,196.293,289.214
"6810",1932,1804,3152.768,3285.01,476,736,1133.026,1225.75,916,891,1773.432,1544.445,1004,1268,1871.956,1912.17,2871,2654,4556.735,4535.275,2425,2017,4113.377,3432.1,2546,2086,3817.805,3039.86,1782,1826,2315.314,2451.5,813,1143,960.609,1323.81,850,1549,911.347,1740.565
"6811",1192,1489,1390.072,1815.356,427,702,828.128,907.678,655,799,1005.584,1113.19,706,853,828.128,1078.938,1609,1573,2380.868,2312.01,1554,1543,2114.684,2243.506,1827,2064,2203.412,2723.034,1978,2113,2085.108,2397.64,1023,1187,1227.404,1301.576,669,1109,739.4,1215.946
"6812",863,788,906.52,841.44,593,465,636.64,511.876,538,485,546.68,560.96,303,300,380.6,357.612,412,324,498.24,350.6,844,954,878.84,1037.776,1234,1439,1335.56,1507.58,798,909,837.32,925.584,566,490,574.36,518.888,311,411,318.32,413.708
"6820",1675,1814,1778.106,1907.559,1390,932,1481.755,959.049,967,697,1042.338,716.652,179,171,194.161,168.624,382,510,398.541,537.489,1383,1639,1471.536,1791.63,1722,1910,1818.982,2002.41,928,953,970.805,969.588,535,692,541.607,716.652,522,741,521.169,748.269
"6824",1985,2091,2195.858,2230.388,1524,1220,1622.313,1349.025,1586,1773,1802.57,2032.531,837,984,966.833,1187.142,730,999,835.737,1187.142,2159,2167,2326.954,2374.284,2686,2578,2785.79,2823.959,1727,2032,1786.183,2104.479,1106,1308,1114.316,1349.025,876,1291,901.285,1331.038
"6825",1034,1174,1193.472,1363.472,598,699,672.512,827.024,687,974,824.064,1072.896,376,388,530.432,514.096,773,696,890.368,838.2,1147,1204,1269.248,1408.176,1613,1755,1761.792,1866.392,1003,1000,1070.336,1139.952,533,771,568.32,827.024,654,1261,672.512,1318.768
"6830",1194,1188,1623.756,1599.875,836,532,1013.408,703.945,411,566,598.832,767.94,191,342,276.384,499.161,1015,788,1289.792,1151.91,1207,1443,1531.628,1740.664,1782,1608,2188.04,2022.242,1261,1558,1393.436,1791.86,888,1192,932.796,1228.704,628,1254,644.896,1292.699
"6831",871,593,950.268,666.757,459,477,518.328,498.236,424,516,460.736,586.16,209,151,251.965,168.521,545,302,626.313,395.658,739,913,820.686,1077.069,1286,1465,1439.8,1524.016,866,803,921.472,835.278,554,722,619.114,791.316,570,772,590.318,783.989
"6840",1526,1234,1707.164,1359.862,1130,870,1154.556,972.748,853,613,917.724,625.338,259,210,286.172,277.928,388,400,414.456,406.966,991,1379,1085.48,1538.53,1751,1691,1786.108,1905.792,1161,1298,1213.764,1330.084,691,560,730.232,595.56,575,902,572.344,913.192
"6850",615,921,971.418,1260.24,342,277,528.99,430.582,319,231,461.664,546.104,331,315,567.462,420.08,1308,1316,1625.442,1659.316,1087,1158,1461.936,1659.316,1164,1223,1452.318,1575.3,1130,1133,1413.846,1407.268,574,688,634.788,808.654,399,700,490.518,745.642
"6851",1459,1082,1946.907,1440.5,630,564,866.871,763.465,568,305,724.761,460.96,469,382,554.229,518.58,1212,1355,1747.953,1670.98,1711,1889,2174.283,2578.495,2372,2037,2756.934,2506.47,1320,1539,1548.999,1843.84,789,1012,881.082,1123.59,869,1345,1008.981,1483.715
"6853",365,241,374.79,258.678,101,97,101.866,141.657,60,41,59.582,86.226,37,25,36.518,24.636,167,151,167.214,149.869,297,274,315.208,275.102,195,299,194.122,307.95,367,443,374.79,447.554,198,244,197.966,242.254,100,102,99.944,112.915
"6854",1034,727,1614.312,1388.432,302,221,640.6,596.896,217,273,486.856,557.968,376,412,717.472,648.8,1413,1750,2075.544,2530.32,1634,1517,2447.092,2413.536,1449,863,2062.732,1440.336,872,1175,1447.756,1777.712,516,459,832.78,843.44,433,625,486.856,791.536
"6855",261,313,312.752,338.821,141,48,170.592,66.367,80,55,106.62,94.311,152,154,181.254,181.636,465,331,515.33,471.555,447,392,536.654,412.174,649,641,710.8,677.642,437,498,497.56,611.275,215,170,298.536,195.608,209,412,223.902,436.625
"6870",659,669,818.55,711.48,302,266,371.076,283.14,222,145,221.918,174.24,153,68,163.71,68.97,102,157,123.692,188.76,469,601,571.166,689.7,589,607,640.288,689.7,311,320,312.868,348.48,216,233,225.556,246.84,190,221,189.176,228.69
"6877",1814,1375,1972.894,1561.625,1220,1057,1298.924,1124.37,1010,890,1041.59,949.468,356,417,355.366,437.255,576,581,673.97,724.594,1464,1692,1580.766,1823.978,2205,2417,2254.736,2511.093,1651,1467,1703.306,1524.146,712,776,722.986,787.059,670,1058,673.97,1061.905
"6878",603,418,674.058,595.548,422,439,463.962,574.578,364,201,455.208,213.894,94,120,140.064,130.014,256,192,319.521,209.7,434,423,507.732,595.548,662,762,752.844,868.158,444,414,520.863,436.176,256,331,258.243,335.52,287,236,297.636,234.864
"6880",1543,1794,1717.478,2012.112,1144,1097,1345.785,1299.489,950,759,1012.543,852.353,328,261,346.059,293.433,486,638,499.863,712.623,1394,1709,1473.955,1872.382,2138,2420,2319.877,2794.6,1962,1666,2025.086,1830.463,986,1102,1038.177,1173.732,998,1126,1025.36,1145.786
"6883",658,543,777.936,610.2,509,605,609.042,645.795,501,492,511.8,533.925,162,83,168.894,96.615,126,166,138.186,167.805,690,680,701.166,747.495,936,1025,1018.482,1083.105,614,610,644.868,630.54,301,348,312.198,350.865,237,220,245.664,228.825
"6890",321,233,326.961,238.368,190,192,190.193,194.82,140,152,156.001,153.564,75,52,74.795,52.716,97,145,98.302,146.688,289,334,316.276,350.676,318,348,320.55,364.428,287,255,314.139,281.916,161,224,162.412,233.784,173,269,181.645,281.916
"6896",587,396,606.786,427.984,366,400,386.936,446.592,255,277,329.775,358.204,107,93,105.528,93.04,142,123,140.704,120.952,406,500,430.906,544.284,843,976,923.37,1023.44,706,695,703.52,716.408,385,442,400.127,441.94,369,482,369.348,483.808
"6897",1283,1357,1482.432,1599.192,844,714,952.992,771.039,658,664,705.92,704.406,279,237,317.664,237.975,199,386,308.84,504.507,1040,1228,1200.064,1342.179,1500,1681,1561.848,1837.167,1244,1051,1288.304,1123.242,507,503,529.44,599.697,448,766,494.144,818.634
"6901",97,146,345.436,414.846,165,13,246.74,101.892,102,48,250.536,61.863,173,213,345.436,262.008,602,527,1157.78,920.667,256,262,478.296,436.68,239,174,466.908,476.709,140,160,250.536,374.817,71,131,170.82,309.315,58,176,79.716,276.564
"6902",1731,1522,4476.44,4277.26,922,825,2007.815,2007.022,757,498,2172.39,1480.59,1136,994,2896.52,2007.022,2684,2428,6977.98,6021.066,2577,2162,5628.465,4869.496,1718,2075,3456.075,4474.672,1674,1939,2633.2,3092.788,866,1078,1415.345,1842.512,1043,2226,1283.685,2829.572
"6903",904,934,958.77,1018.175,580,432,672.57,512.75,393,346,407.835,366.25,210,204,243.27,219.75,305,373,343.44,402.875,911,907,1037.475,1040.15,1417,1445,1452.465,1589.525,847,729,965.925,827.725,427,539,493.695,556.7,554,753,586.71,798.425
"6905",861,746,1087.852,967.883,343,313,500.061,488.733,455,266,561.472,392.903,331,273,386.012,459.984,865,1046,1324.723,1494.948,1061,1176,1421.226,1447.033,1048,1164,1333.496,1590.778,893,907,1026.441,1015.798,468,581,543.926,709.142,529,952,579.018,1015.798
"6906",277,329,487.305,480.036,114,148,233.415,268.644,214,154,307.125,229.008,177,88,229.32,162.948,602,416,909.09,836.76,430,516,593.775,616.56,458,460,577.395,612.156,348,575,397.215,673.812,179,277,249.795,356.724,82,129,110.565,167.352
"6907",384,373,649.555,474.6,180,145,259.025,264.6,73,196,171.355,243.6,95,127,107.595,184.8,517,442,653.54,613.2,453,508,689.405,705.6,647,599,753.165,726.6,281,366,326.77,420,259,291,259.025,298.2,114,261,115.565,268.8
