"","male.white.0.9","female.white.0.9","male.all.0.9","female.all.0.9","male.white.10.14","female.white.10.14","male.all.10.14","female.all.10.14","male.white.15.19","female.white.15.19","male.all.15.19","female.all.15.19","male.white.20.24","female.white.20.24","male.all.20.24","female.all.20.24","male.white.25.34","female.white.25.34","male.all.25.34","female.all.25.34","male.white.35.44","female.white.35.44","male.all.35.44","female.all.35.44","male.white.45.54","female.white.45.54","male.all.45.54","female.all.45.54","male.white.55.64","female.white.55.64","male.all.55.64","female.all.55.64","male.white.65.74","female.white.65.74","male.all.65.74","female.all.65.74","male.white.75.","female.white.75.","male.all.75.","female.all.75."
"6333",259,275,325.738,307.08,205,303,261.205,371.908,237,284,267.351,307.08,127,98,178.234,112.596,181,224,208.964,279.784,324,334,381.052,416.264,546,518,586.943,597.1,363,466,448.658,504.976,284,314,328.811,341.2,83,169,82.971,177.424
"6334",102,135,143.298,134.835,65,43,65.364,53.4,75,135,87.99,142.845,53,65,52.794,65.415,85,82,89.247,88.11,186,162,196.092,176.22,249,261,268.998,261.66,171,179,179.751,189.57,123,114,124.443,113.475,48,109,47.766,108.135
"6335",325,381,407.296,417.972,231,361,270.47,359.73,208,71,232.286,71.946,124,78,124.098,102.78,254,234,308.654,311.766,366,458,391.386,524.178,490,629,505.938,630.384,469,463,490.028,565.29,225,206,235.468,236.394,219,204,216.376,205.56
"6336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0
"6339",503,279,699.27,449.13,313,306,411.84,424.632,171,185,193.05,183.735,258,166,278.85,171.486,548,672,639.21,792.102,419,477,506.22,514.458,554,488,596.31,534.873,468,419,523.38,477.711,312,290,338.91,326.64,110,208,107.25,208.233
"6340",1501,1375,2159.46,2109.268,540,516,719.82,816.97,1228,618,1874.88,831.824,2172,1003,2962.98,1277.444,2259,1728,2829.06,2287.516,1220,1356,1674,1812.188,1220,1642,1573.56,2109.268,1147,1222,1439.64,1455.692,698,780,803.52,876.386,640,1046,703.08,1292.298
"6350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2.997,0,0,0,0,6,6,6,6.003,0,0,0,0,0,0,0,0
"6351",860,642,944.541,827.089,510,587,508.599,589.608,433,506,444.015,548.663,420,451,427.869,483.151,768,818,904.176,949.924,1320,1257,1436.994,1293.862,1303,1346,1404.702,1424.886,1057,997,1097.928,1064.57,522,558,524.745,556.852,360,453,363.285,450.395
"6353",0,21,60.024,21.032,0,0,0,0,0,55,0,55,0,0,0,0,0,12,103.976,11.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6354",287,508,321.678,510.45,93,165,92.736,166.05,87,191,86.94,196.8,135,132,136.206,132.225,366,534,408.618,531.975,433,438,510.048,439.725,586,471,660.744,485.85,331,194,333.27,218.325,198,246,199.962,246,133,130,156.492,144.525
"6355",581,342,730.779,381.48,237,306,319.332,356.048,275,393,276.345,451.418,170,304,171.948,324.258,660,598,687.792,673.948,636,667,804.471,705.738,1009,966,1117.662,1074.502,960,935,982.56,960.058,501,694,534.267,718.454,525,701,521.985,699.38
"6357",512,410,581.578,435.232,279,209,309.35,246.848,246,238,284.602,279.328,222,196,371.22,344.288,357,486,940.424,695.072,647,626,816.684,935.424,708,926,835.245,1097.824,926,1006,934.237,1019.872,667,703,662.009,734.048,438,686,439.277,708.064
"6359",278,210,308.598,234.18,218,106,219.267,132.702,184,104,211.146,104.08,37,121,37.898,158.722,233,113,257.165,161.324,358,386,357.324,424.126,548,458,582.005,489.176,414,398,457.483,421.524,213,205,213.853,205.558,56,268,64.968,268.006
"6360",1175,1392,2074.66,2387.43,595,586,1287.72,873.45,778,682,1234.065,1164.6,761,935,1305.605,1339.29,1905,1554,2861.6,2290.38,1348,1782,2056.775,2833.86,2461,2080,3076.22,2736.81,1573,2236,1913.695,2697.99,835,1112,1090.985,1339.29,885,1682,983.675,1766.31
"6365",213,154,271.59,283.375,107,64,190.113,92.947,111,71,111.105,92.947,107,51,155.547,49.874,179,283,254.307,319.647,254,240,358.005,321.914,368,359,390.102,396.725,296,291,330.846,312.846,234,254,234.555,262.972,160,119,172.83,129.219
"6370",195,438,283.824,475.25,289,330,350.4,353.586,137,115,157.68,155.882,201,199,220.752,197.704,271,277,273.312,304.16,456,455,539.616,558.894,761,649,770.88,646.34,407,539,441.504,593.112,191,309,273.312,387.804,196,127,192.72,125.466
"6371",501,363,539.028,378.456,369,310,379.316,310.528,421,212,439.208,213.488,100,229,154.721,286.268,242,274,284.487,276.564,465,581,464.163,587.092,869,916,893.389,955.844,785,751,783.587,781.172,538,546,549.01,548.276,502,502,499.1,504.608
"6373",0,57,0,56.922,0,42,0,42.065,0,0,0,0,0,0,0,0,55,40,54.945,39.917,22,21,21.978,20.943,0,0,0,0,21,19,20.979,18.974,0,0,0,0,13,0,12.987,0
"6374",582,404,601.458,446.264,239,215,264.978,214.55,354,305,353.304,317.534,261,78,290.214,77.238,493,504,496.308,557.83,592,574,609.87,635.068,686,714,702.402,725.179,425,673,424.806,673.687,280,310,298.626,326.116,161,319,168.24,317.534
"6375",229,179,265.43,201.112,58,173,102.41,187.996,136,91,163.02,159.578,149,102,169.29,131.16,144,252,156.75,264.506,219,198,229.9,209.856,317,444,369.93,478.734,280,277,332.31,281.994,185,156,183.92,155.206,116,99,117.04,115.858
"6376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,10.988,9.996,28,28,28.006,27.979,28,0,28.006,0,0,11,0,10.976
"6377",246,75,258.534,75.12,108,56,112.194,65.104,72,146,100.812,147.736,84,60,84.552,63.852,159,271,159.348,275.44,239,166,258.534,171.524,324,186,323.574,186.548,141,120,156.096,148.988,137,75,136.584,75.12,35,38,35.772,43.82
"6378",168,234,230.76,271.794,162,152,169.224,173.724,148,152,151.276,159.714,99,98,125.636,134.496,204,123,215.376,151.308,231,314,243.58,339.042,379,455,379.472,470.736,503,516,517.928,537.984,350,314,348.704,313.824,181,251,179.48,252.18
"6379",612,415,676.35,468.7,285,211,315.63,257.785,212,331,266.031,356.212,239,129,238.977,276.533,389,338,401.301,454.639,690,591,694.386,632.745,803,699,888.273,796.79,478,556,500.499,609.31,306,414,306.612,412.456,224,386,225.45,417.143
"6380",47,151,69.972,216.717,112,116,150.92,147.552,110,44,149.548,44.573,85,55,85.064,67.628,93,92,127.596,124.497,271,305,271.656,318.159,199,224,198.94,224.402,116,110,152.292,110.664,118,151,126.224,150.626,38,132,38.416,132.182
"6382",423,315,580.116,620.367,307,291,380.076,369.144,249,277,333.4,410.16,331,94,733.48,112.794,348,328,973.528,410.16,553,608,946.856,702.399,892,604,1160.232,748.542,643,621,746.816,707.526,381,443,413.416,476.811,390,563,400.08,563.97
"6384",185,191,185.758,199.773,56,71,69.482,89.694,59,64,59.556,88.335,108,39,107.768,48.924,91,141,90.752,145.413,264,203,263.748,212.004,305,247,314.796,274.518,191,142,191.43,142.695,52,62,52.466,66.591,84,90,85.08,89.694
